supplier,model_code,material,collection,height,widths,price
CobraDoors,MAH-FSL,Fiberglass,Mahogany,6'8,"12,14","$1,000 "
CobraDoors,MAH-RPSL,Fiberglass,Mahogany,6'8,"12,14","$1,000 "
CobraDoors,MAH-F,Fiberglass,Mahogany,6'8,"32,34,36,40,42","$1,000 "
CobraDoors,MAH-RP,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,MAH-CFR,Fiberglass,Mahogany,6'8,36,"$1,000 "
CobraDoors,MAH-2EM,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,MAH-3PA,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,MAH-C3P,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,TT-BM00,Fiberglass,Mahogany,6'8,"32,34,36,42","$1,000 "
CobraDoors,MAH-GR1,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,MAH-GR2,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,MAH-GR3,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,MAH-GR4,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,MAH-GR5,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,MAH-GR6,Fiberglass,Mahogany,6'8,"32,34,36","$1,000 "
CobraDoors,TT-BM00-1,Fiberglass,Mahogany,8'0,"32,34,36","$1,000 "
CobraDoors,TT-BM00-2,Fiberglass,Mahogany,8'0,"32,34,36","$1,000 "
CobraDoors,MAH8-3Q,Fiberglass,Mahogany,8'0,"32,34,36","$1,000 "
CobraDoors,MAH8-ST-42,Fiberglass,Mahogany,8'0,"40,42","$1,000 "
CobraDoors,MAH8-NRP,Fiberglass,Mahogany,8'0,"40,42","$1,000 "
CobraDoors,MAH8-RP,Fiberglass,Mahogany,8'0,"32,34,36,40,42","$1,000 "
CobraDoors,MAH8-F,Fiberglass,Mahogany,8'0,"32,34,36,40,42","$1,000 "
CobraDoors,MAH8-FSL,Fiberglass,Mahogany,8'0,"12,14,16","$1,000 "
CobraDoors,MAH8-NRPSL,Fiberglass,Mahogany,8'0,"12,14","$1,000 "
CobraDoors,MAH8-GP,Fiberglass,Mahogany,8'0,"32,34,36,42","$1,000 "
CobraDoors,MAH8-5L,Fiberglass,Mahogany,8'0,"32,34,36","$1,000 "
CobraDoors,WG-F,Fiberglass,Oak,6'8,"30,32,34,36","$1,000 "
CobraDoors,WG-3PA,Fiberglass,Oak,6'8,"32,34,36","$1,000 "
CobraDoors,WG-2EM,Fiberglass,Oak,6'8,"32,34,36","$1,000 "
CobraDoors,WG-2PR,Fiberglass,Oak,6'8,"32,34,36","$1,000 "
CobraDoors,WG-4PBT,Fiberglass,Oak,6'8,"32,34,36","$1,000 "
CobraDoors,WG-CR,Fiberglass,Oak,6'8,"32,34,36","$1,000 "
CobraDoors,WG-C3P,Fiberglass,Oak,6'8,"32,34,36","$1,000 "
CobraDoors,WG-CR,Fiberglass,Oak,6'8,"34,36","$1,000 "
CobraDoors,WG-8P,Fiberglass,Oak,6'8,"34,36","$1,000 "
CobraDoors,WG-1P,Fiberglass,Oak,6'8,"32,34,36","$1,000 "
CobraDoors,WG-CTP,Fiberglass,Oak,6'8,"32,34,36","$1,000 "
CobraDoors,WG-SYD,Fiberglass,Oak,6'8,"32,34,36","$1,000 "
CobraDoors,WG-F-S/L,Fiberglass,Oak,6'8,"12,14","$1,000 "
CobraDoors,WG-2PSL,Fiberglass,Oak,6'8,"12,14","$1,000 "
CobraDoors,WG-2PR-S/L,Fiberglass,Oak,6'8,"12,14","$1,000 "
CobraDoors,WG8-F,Fiberglass,Oak,8'0,"32,34,36","$1,000 "
CobraDoors,WG8-6P,Fiberglass,Oak,8'0,"32,34,36","$1,000 "
CobraDoors,WG8-2H,Fiberglass,Oak,8'0,"32,34,36","$1,000 "
CobraDoors,WG8-3Q,Fiberglass,Oak,8'0,"32,34,36","$1,000 "
CobraDoors,WG8-MXP,Fiberglass,Oak,8'0,"36,42","$1,000 "
CobraDoors,WG8-FSL,Fiberglass,Oak,8'0,"12,14","$1,000 "
CobraDoors,WG8-2PSL,Fiberglass,Oak,8'0,"12,14","$1,000 "
CobraDoors,TT-B0-8',Fiberglass,Oak,8'0,"32,34,36","$1,000 "
CobraDoors,SM-CR,Fiberglass,Smooth,6'8,"34,36","$1,000 "
CobraDoors,SM-CFR,Fiberglass,Smooth,6'8,"32,34,36","$1,000 "
CobraDoors,SM-2P,Fiberglass,Smooth,6'8,"32,34,36","$1,000 "
CobraDoors,SM-2PR,Fiberglass,Smooth,6'8,"32,34,36","$1,000 "
CobraDoors,SM-2EM,Fiberglass,Smooth,6'8,"32,34,36","$1,000 "
CobraDoors,SM-F,Fiberglass,Smooth,6'8,"30,32,34,36,42","$1,000 "
CobraDoors,SM-2PSL,Fiberglass,Smooth,6'8,"12,14","$1,000 "
CobraDoors,SM-2PRSL,Fiberglass,Smooth,6'8,"12,14","$1,000 "
CobraDoors,SM-FSL,Fiberglass,Smooth,6'8,"12,14","$1,000 "
CobraDoors,SM-4PBT,Fiberglass,Smooth,6'8,"32,34,36","$1,000 "
CobraDoors,SM-6P,Fiberglass,Smooth,6'8,"32,34,36","$1,000 "
CobraDoors,SM-3PA,Fiberglass,Smooth,6'8,"32,34,36","$1,000 "
CobraDoors,SM-RP,Fiberglass,Smooth,6'8,"32,34,36","$1,000 "
CobraDoors,SM8-FSL,Fiberglass,Smooth,8'0,"12,14","$1,000 "
CobraDoors,SM8-3PSL,Fiberglass,Smooth,8'0,"12,14","$1,000 "
CobraDoors,SM8-6P,Fiberglass,Smooth,8'0,"32,34,36","$1,000 "
CobraDoors,SM8-GP,Fiberglass,Smooth,8'0,"32,34,36,42","$1,000 "
CobraDoors,SM8-F,Fiberglass,Smooth,8'0,"32,34,36","$1,000 "
CobraDoors,WG00,Fiberglass,Oak (RC),6'8,"30,32,34,36,42","$1,000 "
CobraDoors,WG25,Fiberglass,Oak (RC),6'8,"32,34,36","$1,000 "
CobraDoors,WG46,Fiberglass,Oak (RC),6'8,"32,34,36","$1,000 "
CobraDoors,WG68,Fiberglass,Oak (RC),6'8,"32,34,36","$1,000 "
CobraDoors,WG49,Fiberglass,Oak (RC),6'8,"32,34,36","$1,000 "
CobraDoors,WG34,Fiberglass,Oak (RC),6'8,"32,34,36","$1,000 "
CobraDoors,WGF0,Fiberglass,Oak (RC),6'8,36,"$1,000 "
CobraDoors,WG68,Fiberglass,Oak (RC),6'8,"34,36","$1,000 "
CobraDoors,WG81,Fiberglass,Oak (RC),6'8,36,"$1,000 "
CobraDoors,WG91,Fiberglass,Oak (RC),6'8,36,"$1,000 "
CobraDoors,WS00,Fiberglass,Oak (RC),6'8,"12,14","$1,000 "
CobraDoors,WS68,Fiberglass,Oak (RC),6'8,"12,14","$1,000 "
CobraDoors,WS34,Fiberglass,Oak (RC),6'8,"12,14","$1,000 "
CobraDoors,WS49,Fiberglass,Oak (RC),6'8,"12,14","$1,000 "
CobraDoors,WG00,Fiberglass,Teak,6'8,"30,32,34,36,42","$1,000 "
CobraDoors,SG00,Fiberglass,Smooth,6'8,"30,32,34,36,42","$1,000 "
CobraDoors,SG25,Fiberglass,Smooth,6'8,"32,34,36","$1,000 "
CobraDoors,SG20,Fiberglass,Smooth,6'8,"32,34,36","$1,000 "
CobraDoors,SG46,Fiberglass,Smooth,6'8,"32,34,36","$1,000 "
CobraDoors,SG49,Fiberglass,Smooth,6'8,"32,34,36","$1,000 "
CobraDoors,SG66,Fiberglass,Smooth,6'8,"34,36","$1,000 "
CobraDoors,SG68,Fiberglass,Smooth,6'8,"32,34,36","$1,000 "
CobraDoors,SG11,Fiberglass,Smooth Contemporary,6'8,"24,30,32,34,36","$1,000 "
CobraDoors,SGNL,Fiberglass,Smooth Contemporary,6'8,"32,34,36","$1,000 "
CobraDoors,SG27,Fiberglass,Smooth Contemporary,6'8,"32,34,36","$1,000 "
CobraDoors,SG23,Fiberglass,Smooth Contemporary,6'8,"32,34,36","$1,000 "
CobraDoors,SG4L,Fiberglass,Smooth Contemporary,6'8,"32,34,36","$1,000 "
CobraDoors,HAR BS05,Fiberglass,Harbour Smooth Contemporary,"6'8,8'0","32,34,36","$1,000 "
CobraDoors,HAR BS14,Fiberglass,Harbour Smooth Contemporary,"6'8,8'0","32,34,36","$1,000 "
CobraDoors,HAR BS24,Fiberglass,Harbour Smooth Contemporary,"6'8,8'0","32,34,36","$1,000 "
CobraDoors,HAR BS30,Fiberglass,Harbour Smooth Contemporary,"6'8,8'0","32,34,36","$1,000 "